epoch,time,loss
111,2017-05-10 01:46:25.529962,1.42043285332
112,2017-05-10 01:48:42.345548,1.42602052176
113,2017-05-10 01:50:58.539380,1.42000038606
114,2017-05-10 01:53:14.834977,1.41516992813
115,2017-05-10 01:55:30.908779,1.41308508908
116,2017-05-10 01:57:47.351901,1.41155150983
117,2017-05-10 02:00:04.023238,1.41158755168
118,2017-05-10 02:02:20.884954,1.41297663023
119,2017-05-10 02:04:37.866689,1.40872255697
120,2017-05-10 02:06:53.968456,1.41711140626
121,2017-05-10 02:09:10.190498,1.40952206202
122,2017-05-10 02:11:26.696108,1.40938952037
123,2017-05-10 02:13:43.439258,1.4054120394
124,2017-05-10 02:16:02.026365,1.41399117908
125,2017-05-10 02:18:18.925748,1.40359076247
126,2017-05-10 02:20:35.442867,1.40333583263
127,2017-05-10 02:22:54.033220,1.40175091082
128,2017-05-10 02:25:10.873225,1.40150874607
129,2017-05-10 02:27:27.672462,1.40028145396
130,2017-05-10 02:29:44.236080,1.39699562359
131,2017-05-10 02:32:01.436925,1.39467634035
132,2017-05-10 02:34:17.918453,1.3939211583
133,2017-05-10 02:36:33.942849,1.39085734572
134,2017-05-10 02:38:50.194613,1.39066669309
135,2017-05-10 02:41:06.380399,1.39268423453
136,2017-05-10 02:43:22.555964,1.38727718289
137,2017-05-10 02:45:38.980828,1.38793266196
138,2017-05-10 02:47:55.244407,1.3892163394
139,2017-05-10 02:50:11.648106,1.38747416787
140,2017-05-10 02:52:28.086244,1.38715956611
141,2017-05-10 02:54:44.111215,1.38016641203
142,2017-05-10 02:57:00.555291,1.38139495228
143,2017-05-10 02:59:16.948346,1.38312190811
144,2017-05-10 03:01:33.477905,1.38338375513
145,2017-05-10 03:03:50.009831,1.38127329627
146,2017-05-10 03:06:06.009175,1.37827839501
147,2017-05-10 03:08:22.754205,1.38088645726
148,2017-05-10 03:10:38.931667,1.3748318489
149,2017-05-10 03:12:55.479043,1.37299278608
150,2017-05-10 03:15:11.552908,1.3756071353
151,2017-05-10 03:17:28.018523,1.37660312301
152,2017-05-10 03:19:44.114027,1.37755170564
153,2017-05-10 03:22:00.530509,1.37092940224
154,2017-05-10 03:24:16.671640,1.36946875375
155,2017-05-10 03:26:33.044114,1.37122691232
156,2017-05-10 03:28:49.231245,1.37346390902
157,2017-05-10 03:31:06.024031,1.36597343012
158,2017-05-10 03:33:23.419489,1.36523978395
159,2017-05-10 03:35:39.694462,1.36937896385
160,2017-05-10 03:37:56.000227,1.37113172995
161,2017-05-10 03:40:12.198652,1.36589937097
162,2017-05-10 03:42:28.516878,1.3678163908
163,2017-05-10 03:44:44.821703,1.36312380085
164,2017-05-10 03:47:01.243977,1.36166012875
165,2017-05-10 03:49:17.690043,1.36207954155
166,2017-05-10 03:51:33.813512,1.36061125846
167,2017-05-10 03:53:50.475642,1.36455643387
168,2017-05-10 03:56:08.005317,1.35809116698
169,2017-05-10 03:58:25.434902,1.35830905745
170,2017-05-10 04:00:41.694474,1.36770065275
171,2017-05-10 04:02:57.454979,1.3580910147
172,2017-05-10 04:05:13.166363,1.35548939716
173,2017-05-10 04:07:29.970002,1.35376730297
174,2017-05-10 04:09:46.068715,1.35359253233
175,2017-05-10 04:12:02.977765,1.35196148632
176,2017-05-10 04:14:18.946894,1.3504325192
177,2017-05-10 04:16:35.441240,1.35152005095
178,2017-05-10 04:18:53.830057,1.3482414548
179,2017-05-10 04:21:10.274982,1.34724827461
180,2017-05-10 04:23:26.659138,1.34684808081
181,2017-05-10 04:25:43.076115,1.34588669682
182,2017-05-10 04:27:59.313005,1.34906846993
183,2017-05-10 04:30:15.182983,1.34750386494
184,2017-05-10 04:32:31.949285,1.34863478697
185,2017-05-10 04:34:48.655670,1.34582742562
186,2017-05-10 04:37:04.742493,1.34398648157
187,2017-05-10 04:39:21.011537,1.34449626814
188,2017-05-10 04:41:37.678760,1.34506549148
189,2017-05-10 04:43:54.378735,1.34279805268
190,2017-05-10 04:46:10.414891,1.34251716835
191,2017-05-10 04:48:26.926764,1.34058075466
192,2017-05-10 04:50:43.166543,1.33762639997
193,2017-05-10 04:52:59.772020,1.33829729756
194,2017-05-10 04:55:15.810892,1.33667393071
195,2017-05-10 04:57:32.260974,1.33655308212
196,2017-05-10 04:59:48.206593,1.33706817508
197,2017-05-10 05:02:04.503975,1.33442921179
198,2017-05-10 05:04:20.893451,1.33167813991
199,2017-05-10 05:06:37.235787,1.33516120115
200,2017-05-10 05:08:53.605151,1.33273983861
201,2017-05-10 05:11:10.225304,1.33080201612
202,2017-05-10 05:13:26.368206,1.3316031798
203,2017-05-10 05:15:42.457984,1.33093826499
204,2017-05-10 05:17:58.628829,1.3314579653
205,2017-05-10 05:20:14.680079,1.32850013217
206,2017-05-10 05:22:31.372689,1.32993409715
207,2017-05-10 05:24:47.789069,1.32754219205
208,2017-05-10 05:27:04.009334,1.32513600519
209,2017-05-10 05:29:20.036833,1.32664455045
210,2017-05-10 05:31:36.329885,1.32667209918
211,2017-05-10 05:33:52.382716,1.32427175031
212,2017-05-10 05:36:09.048940,1.32315547815
213,2017-05-10 05:38:25.040975,1.33006995138
214,2017-05-10 05:40:41.414595,1.32599922882
215,2017-05-10 05:42:57.397171,1.3222237933
216,2017-05-10 05:45:15.224328,1.32598119646
217,2017-05-10 05:47:31.524244,1.32260769944
218,2017-05-10 05:49:48.575856,1.31832855387
219,2017-05-10 05:52:04.761981,1.31848265181
220,2017-05-10 05:54:21.241169,1.31953193938
221,2017-05-10 05:56:37.862616,1.3198822317
222,2017-05-10 05:58:54.168875,1.3170324956
223,2017-05-10 06:01:10.330128,1.31841011223
224,2017-05-10 06:03:27.160713,1.31637549598
225,2017-05-10 06:05:43.832969,1.31757831128
226,2017-05-10 06:07:59.855430,1.31772169724
227,2017-05-10 06:10:16.278296,1.31540520678
228,2017-05-10 06:12:32.019676,1.31371721173
229,2017-05-10 06:14:48.123370,1.31354475148
230,2017-05-10 06:17:04.628460,1.31296834192
231,2017-05-10 06:19:22.222335,1.31083182334
232,2017-05-10 06:21:39.280476,1.31319371567
233,2017-05-10 06:23:57.486475,1.3133458412
234,2017-05-10 06:26:15.557340,1.31597706948
235,2017-05-10 06:28:32.094356,1.31186236667
236,2017-05-10 06:30:48.564179,1.31250764763
237,2017-05-10 06:33:05.422681,1.30902198575
238,2017-05-10 06:35:22.022693,1.31243755502
239,2017-05-10 06:37:38.857476,1.31085713694
240,2017-05-10 06:39:55.148938,1.30745654252
241,2017-05-10 06:42:11.534603,1.30693798194
242,2017-05-10 06:44:27.313198,1.30580073627
243,2017-05-10 06:46:43.675327,1.30703426597
244,2017-05-10 06:49:01.218886,1.30781141319
245,2017-05-10 06:51:17.458761,1.30475946327
246,2017-05-10 06:53:33.882369,1.30751803323
247,2017-05-10 06:55:51.654883,1.30542451561
248,2017-05-10 06:58:08.886485,1.30332473662
249,2017-05-10 07:00:25.908163,1.3017112474
250,2017-05-10 07:02:42.477913,1.30296873315
251,2017-05-10 07:04:58.723559,1.30538471251
252,2017-05-10 07:07:15.681574,1.30006619309
253,2017-05-10 07:09:32.349513,1.30099657706
254,2017-05-10 07:11:49.013722,1.29900560093
255,2017-05-10 07:14:05.077721,1.30284700161
256,2017-05-10 07:16:21.544015,1.30006921728
257,2017-05-10 07:18:38.186728,1.29891988927
258,2017-05-10 07:20:54.431593,1.29785140923
259,2017-05-10 07:23:10.670337,1.2985280322
260,2017-05-10 07:25:27.441476,1.29801836525
261,2017-05-10 07:27:43.606089,1.29753940465
262,2017-05-10 07:30:00.865672,1.29427596703
263,2017-05-10 07:32:17.287805,1.29783358677
264,2017-05-10 07:34:34.136564,1.29812817133
265,2017-05-10 07:36:50.738927,1.29507481775
266,2017-05-10 07:39:08.350754,1.29149837065
267,2017-05-10 07:41:25.986924,1.29119231851
268,2017-05-10 07:43:41.873229,1.29508243185
269,2017-05-10 07:45:58.473176,1.29112934002
270,2017-05-10 07:48:14.545025,1.29137692205
271,2017-05-10 07:50:31.096454,1.29053140787
272,2017-05-10 07:52:47.490358,1.29332388665
273,2017-05-10 07:55:04.496204,1.28990332385
274,2017-05-10 07:57:20.521000,1.29108616697
275,2017-05-10 07:59:37.046778,1.28950332291
276,2017-05-10 08:01:55.038898,1.29175974456
277,2017-05-10 08:04:12.142975,1.28790557202
278,2017-05-10 08:06:32.006729,1.28463994485
279,2017-05-10 08:08:49.095584,1.28508700344
280,2017-05-10 08:11:05.115731,1.28827906634
281,2017-05-10 08:13:21.423614,1.29106401937
282,2017-05-10 08:15:37.671192,1.28604646405
283,2017-05-10 08:17:54.783071,1.28549450456
284,2017-05-10 08:20:12.028596,1.2881567097
285,2017-05-10 08:22:28.446641,1.28598010928
286,2017-05-10 08:24:45.617771,1.28253908735
287,2017-05-10 08:27:02.896269,1.28241350191
288,2017-05-10 08:29:19.929364,1.28626618453
289,2017-05-10 08:31:36.524197,1.28161988583
290,2017-05-10 08:33:53.646358,1.28112382962
291,2017-05-10 08:36:10.791347,1.28159719168
292,2017-05-10 08:38:27.710916,1.28218751432
293,2017-05-10 08:40:44.311382,1.27913473868
294,2017-05-10 08:43:00.723312,1.27904117937
295,2017-05-10 08:45:16.962647,1.28478143034
296,2017-05-10 08:47:33.231549,1.27790354866
297,2017-05-10 08:49:49.837506,1.27957330145
298,2017-05-10 08:52:06.067338,1.27895865843
299,2017-05-10 08:54:22.081509,1.27835816038
300,2017-05-10 08:56:38.271566,1.27725302002
301,2017-05-10 08:58:54.728211,1.27600762985
302,2017-05-10 09:01:11.518789,1.27596047399
303,2017-05-10 09:03:28.531346,1.27360254734
304,2017-05-10 09:05:44.983556,1.27519757403
305,2017-05-10 09:08:01.227606,1.27650693366
306,2017-05-10 09:10:17.811341,1.27535451995
307,2017-05-10 09:12:34.638332,1.27410578565
308,2017-05-10 09:14:52.326027,1.27421070934
309,2017-05-10 09:17:08.432145,1.27319589702
310,2017-05-10 09:19:25.093533,1.27575867051
311,2017-05-10 09:21:41.566692,1.27362310118
312,2017-05-10 09:23:57.736694,1.27294807734
313,2017-05-10 09:26:14.125333,1.27244938234
314,2017-05-10 09:28:30.950361,1.27351392081
315,2017-05-10 09:30:46.914053,1.27108315463
316,2017-05-10 09:33:02.873306,1.27192686328
317,2017-05-10 09:35:19.196097,1.27019952728
318,2017-05-10 09:37:35.306866,1.2702703001
319,2017-05-10 09:39:51.661022,1.26922284464
320,2017-05-10 09:42:08.336713,1.2668282426
321,2017-05-10 09:44:26.422582,1.27132982441
322,2017-05-10 09:46:42.985778,1.26741013128
323,2017-05-10 09:48:59.252715,1.26552634399
324,2017-05-10 09:51:15.877392,1.27174211177
325,2017-05-10 09:53:33.610466,1.26887959564
326,2017-05-10 09:55:50.785363,1.26659814697
327,2017-05-10 09:58:07.409137,1.264119844
328,2017-05-10 10:00:24.901907,1.26545814945
329,2017-05-10 10:02:41.394640,1.26459840926
330,2017-05-10 10:04:57.666148,1.26535304476
331,2017-05-10 10:07:14.355978,1.26337855854
332,2017-05-10 10:09:31.103838,1.26261467075
333,2017-05-10 10:12:16.374607,1.2632629948
334,2017-05-10 10:14:34.208833,1.26426088144
335,2017-05-10 10:17:05.852180,1.26395772664
336,2017-05-10 10:19:30.480368,1.2619665686
337,2017-05-10 10:21:47.485283,1.26319971944
338,2017-05-10 10:24:05.267180,1.26240066357
339,2017-05-10 10:26:22.628955,1.25981875596
340,2017-05-10 10:28:41.811771,1.26279540382
341,2017-05-10 10:30:59.757685,1.26153066109
342,2017-05-10 10:33:16.681098,1.25897094271
343,2017-05-10 10:35:33.705309,1.25916096494
344,2017-05-10 10:37:51.602576,1.2590976611
345,2017-05-10 10:40:09.337085,1.26139820894
346,2017-05-10 10:42:26.393565,1.25926924811
347,2017-05-10 10:44:43.402985,1.25932454125
348,2017-05-10 10:47:00.507517,1.25726437591
349,2017-05-10 10:49:18.310102,1.25489796566
350,2017-05-10 10:51:35.328991,1.25777331956
351,2017-05-10 10:53:53.120252,1.25664365031
352,2017-05-10 10:56:11.852770,1.2561145426
353,2017-05-10 10:58:29.028234,1.25680733763
354,2017-05-10 11:00:46.038453,1.2538854353
355,2017-05-10 11:03:03.030758,1.25397223873
356,2017-05-10 11:05:20.570046,1.25868481181
357,2017-05-10 11:07:37.710337,1.25341314877
358,2017-05-10 11:09:54.740047,1.25347502762
359,2017-05-10 11:12:11.841946,1.25187475303
360,2017-05-10 11:14:28.817650,1.25240152346
361,2017-05-10 11:16:45.709510,1.24932729355
362,2017-05-10 11:19:02.632953,1.25259439204
363,2017-05-10 11:21:19.350570,1.25286071035
364,2017-05-10 11:23:36.070607,1.25080408051
365,2017-05-10 11:25:52.579953,1.25285510814
366,2017-05-10 11:28:08.401395,1.25238345182
367,2017-05-10 11:30:25.584229,1.24826692068
368,2017-05-10 11:32:43.811960,1.24872131839
369,2017-05-10 11:35:00.803616,1.2482792067
370,2017-05-10 11:37:17.295228,1.25042182123
371,2017-05-10 11:39:34.027574,1.24949339023
372,2017-05-10 11:41:50.573926,1.24793263398
373,2017-05-10 11:44:06.635571,1.24797447282
374,2017-05-10 11:46:22.246196,1.24712738242
375,2017-05-10 11:48:38.260660,1.24619989535
376,2017-05-10 11:50:55.996999,1.2450405727
377,2017-05-10 11:53:11.842717,1.24513641368
378,2017-05-10 11:55:27.357957,1.24743633435
379,2017-05-10 11:57:43.211917,1.24795800171
380,2017-05-10 12:00:02.443049,1.24412535211
381,2017-05-10 12:02:18.250097,1.24236161449
382,2017-05-10 12:04:36.993192,1.24207591431
383,2017-05-10 12:06:53.979378,1.24136603195
384,2017-05-10 12:09:14.681591,1.24225336614
385,2017-05-10 12:11:30.455561,1.24433690064
386,2017-05-10 12:13:47.060777,1.24193293583
387,2017-05-10 12:16:02.992969,1.24113100874
388,2017-05-10 12:18:18.910897,1.24117160226
389,2017-05-10 12:20:34.890533,1.24172815805
390,2017-05-10 12:22:50.232411,1.24106998562
391,2017-05-10 12:25:05.770844,1.23982143251
392,2017-05-10 12:27:21.559925,1.23822289987
393,2017-05-10 12:29:37.377239,1.24155847095
394,2017-05-10 12:31:53.683817,1.23994578684
395,2017-05-10 12:34:09.584508,1.23961377445
396,2017-05-10 12:36:25.436177,1.23859239831
397,2017-05-10 12:38:41.227491,1.23741749647
398,2017-05-10 12:40:57.089611,1.2357642826
399,2017-05-10 12:43:13.993198,1.2378854517
400,2017-05-10 12:45:30.960848,1.23623771763
401,2017-05-10 12:47:47.269039,1.23531658068
402,2017-05-10 12:50:03.391947,1.23475140959
403,2017-05-10 12:52:20.045751,1.23648051393
404,2017-05-10 12:54:37.033954,1.23455684194
405,2017-05-10 12:56:52.656493,1.23648796038
